id,naslov,leto,ocena
assassination_of_jesse_james_by_the_coward_robert_ford,The Assassination of Jesse James by the Coward Robert Ford,2007,76
the_martian,The Martian,2015,93
king_of_kong,The King of Kong: A Fistful of Quarters,2007,97
the-heart-of-the-game,The Heart of the Game,2005,86
charlottes_web,Charlotte's Web,2006,78
war_tapes,The War Tapes,2006,98
whats_love_got_to_do_with_it,What's Love Got To Do With It?,1993,96
invincible,Invincible,2006,71
rashomon,Rashômon (Rashomon) (In the Woods),1951,100
hurt_locker,The Hurt Locker,2009,98
1109257-others,The Others,2001,83
roman_holiday,Roman Holiday,1953,98
10008785-appaloosa,Appaloosa,2008,77
mad_max_2_the_road_warrior_1981,Mad Max 2: The Road Warrior,1981,98
midnight_run,Midnight Run,1988,96
madagascar_3_europes_most_wanted_2012,Madagascar 3: Europe's Most Wanted,2012,79
toy_story,Toy Story,1995,100
grindhouse,Grindhouse,2007,83
red_hill_2010,Red Hill,2010,78
1021112-texas_chainsaw_massacre,The Texas Chainsaw Massacre,1974,88
first_position_2011,First Position,2012,93
this_is_not_a_film_2011,This Is Not a Film,2012,98
a_tale_of_two_sisters,A Tale of Two Sisters,2003,85
1158528-goal,Goal! The Dream Begins (Goal!: The Impossible Dream),2005,44
1122382-spellbound,Spellbound,2002,98
russian_ark,Russian Ark,2002,89
nashville,Nashville,1975,93
casino_royale,Casino Royale,2006,95
coraline,Coraline,2009,90
crouching_tiger_hidden_dragon,"Crouching Tiger, Hidden Dragon",2001,97
lost_in_translation,Lost In Translation,2003,95
the_babadook,The Babadook,2014,98
the_hunger_games_catching_fire,The Hunger Games: Catching Fire,2013,89
queen,The Queen,2006,97
alien,Alien,1979,97
10006630-life_of_reilly,The Life of Reilly,2007,98
we_are_the_best,We Are the Best!,2014,97
the_grand_budapest_hotel,The Grand Budapest Hotel,2014,92
topsyturvy,Topsy-Turvy,1999,89
the-social-network,The Social Network,2010,96
the-secret-of-kells,The Secret of Kells,2010,91
the_conjuring,The Conjuring,2013,86
taxi_to_the_dark_side,Taxi to the Dark Side,2007,100
french_connection,The French Connection,1971,98
burma-vj,Burma VJ: Reporter i et Lukket Land (Burma VJ: Reporting from a Closed Country),2008,97
1000013-12_angry_men,12 Angry Men (Twelve Angry Men),1957,100
apocalypse_now,Apocalypse Now,1979,97
to_catch_a_thief,To Catch a Thief,1955,95
slumdog_millionaire,Slumdog Millionaire,2008,92
station_agent,The Station Agent,2003,95
grbavica,Grbavica,2007,98
monsters_inc,"Monsters, Inc.",2001,96
1058966-red,Three Colors: Red (Trois couleurs: Rouge),1994,100
metallica_some_kind_of_monster,Metallica: Some Kind of Monster,2004,89
9400,Forbidden Planet,1956,98
incredibles,The Incredibles,2004,97
crying_game,The Crying Game,1992,97
pom_wonderful_presents_the_greatest_movie_ever_sold,POM Wonderful Presents: The Greatest Movie Ever Sold,2011,73
gremlins,Gremlins,1984,85
1004151-christmas_story,A Christmas Story,1983,89
1000121-39_steps,The 39 Steps,1935,98
it_follows,It Follows,2015,97
the_lord_of_the_rings_the_fellowship_of_the_ring,The Lord of the Rings: The Fellowship of the Ring,2001,91
1002352-big_sleep,The Big Sleep,1946,96
west_of_memphis,West of Memphis,2012,95
cronos,Cronos,1994,89
the_good_the_bad_and_the_ugly,"The Good, the Bad and the Ugly",1966,97
from_up_on_poppy_hill,From Up On Poppy Hill,2013,83
food_inc,"Food, Inc.",2009,96
the_muppets,The Muppets,2011,96
american_in_paris,An American in Paris,1951,95
lannee_derniere_a_marienbad_1961,L'année dernière à Marienbad (Last Year at Marienbad),1961,95
todo_sobre_mi_madre_1999,Todo sobre mi madre (All About My Mother),1999,98
harry_potter_and_the_prisoner_of_azkaban,Harry Potter and the Prisoner of Azkaban,2004,91
1000085-2001_a_space_odyssey,2001: A Space Odyssey,1968,96
to_be_and_to_have,To Be and to Have (Etre et Avoir),2003,97
kung_fu_hustle,Kung Fu Hustle,2005,90
eternal_sunshine_of_the_spotless_mind,Eternal Sunshine Of The Spotless Mind,2004,93
hannah_and_her_sisters,Hannah and Her Sisters,1986,93
true_grit,True Grit,1969,90
moolaade,Moolaadé,2004,99
chicago,Chicago,2002,86
the_salt_of_the_earth,The Salt of the Earth,2015,95
the_lord_of_the_rings_the_two_towers,The Lord of the Rings: The Two Towers,2002,96
grapes_of_wrath,The Grapes of Wrath,1940,100
310_to_yuma,3:10 to Yuma,2007,89
elsker_dig_for_evigt,Elsker Dig For Evigt,2002,96
sweetgrass,Sweetgrass,2009,97
inside_out_2015,Inside Out,2015,98
down_in_the_valley,Down in the Valley,2006,52
dawn_of_the_planet_of_the_apes,Dawn Of The Planet Of The Apes,2014,90
joan-rivers-a-piece-of-work,Joan Rivers: A Piece Of Work,2010,91
more_than_a_game,More Than a Game,2009,71
paranormal_activity,Paranormal Activity,2009,83
dead_zone,The Dead Zone,1983,90
blackthorn,Blackthorn,2011,75
mud_2012,Mud,2013,98
legends_of_the_fall,Legends of the Fall,1994,56
time-out-l-emploi-du-temps,Time Out (L' Emploi du temps),2001,96
a_girl_walks_home_alone_at_night,A Girl Walks Home Alone at Night,2014,95
who_killed_the_electric_car,Who Killed the Electric Car?,2006,88
1018639-seven_samurai,Seven Samurai (Shichinin no Samurai),1954,100
whale_rider,Whale Rider,2003,90
1146572-honeymooners,The Honeymooners,2005,13
ex_machina,Ex Machina,2015,92
national_gallery,National Gallery,2014,95
brooklyn_castle_2012,Brooklyn Castle,2012,96
bringing_up_baby,Bringing Up Baby,1938,95
the_conformist,The Conformist,1970,100
grudge_match_2014,Grudge Match,2013,29
brokeback_mountain,Brokeback Mountain,2005,87
the_wizard_of_oz_1939,The Wizard of Oz,1939,99
bride_of_frankenstein,The Bride of Frankenstein,1935,100
the_town,The Town,2010,93
1037024-commitments,The Commitments,1991,88
1212694-blind_side,The Blind Side,2009,66
raising_victor_vargas,Raising Victor Vargas,2003,96
army-of-shadows-1969,L'Armée des ombres (Army in the Shadows),1969,97
anvil_the_story_of_anvil,Anvil! The Story of Anvil,2009,98
1046129-fugitive,The Fugitive,1993,96
bridge_on_the_river_kwai,The Bridge on the River Kwai,1957,94
django_unchained_2012,Django Unchained,2012,88
simpsons_movie,The Simpsons Movie,2007,89
1016240-phantom_of_the_opera,Phantom Of The Opera,1925,91
tucker_and_dale_vs_evil,Tucker & Dale vs Evil,2011,84
slither,Slither,2006,86
1000626-all_about_eve,All About Eve,1950,100
no_strings_attached_2011,No Strings Attached,2011,49
the_spectacular_now,The Spectacular Now,2013,93
to_be_or_not_to_be,To Be or Not to Be,1942,98
ginger_snaps,Ginger Snaps,2001,89
pans_labyrinth,Pan's Labyrinth,2006,95
close_encounters_of_the_third_kind,Close Encounters of the Third Kind,1977,96
blair_witch_project,The Blair Witch Project,1999,86
chico_and_rita,Chico & Rita,2012,86
