id,naslov,leto,ocena
0059113,Doctor Zhivago,1965,8.0
0056923,Charade,1963,8.0
0349825,Miracle,2004,7.5
1821480,Kahaani,2012,8.2
0498380,Letters from Iwo Jima,2006,7.9
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.5
0112870,Dilwale Dulhania Le Jayenge,1995,8.3
0107207,In the Name of the Father,1993,8.1
0112471,Before Sunrise,1995,8.1
0119698,Princess Mononoke,1997,8.4
0076786,Suspiria,1977,7.5
0054997,The Hustler,1961,8.1
0158371,Sweet and Lowdown,1999,7.3
0027977,Modern Times,1936,8.6
0174856,The Hurricane,1999,7.6
0190590,"O Brother, Where Art Thou?",2000,7.8
0166924,Mulholland Dr.,2001,8.0
0246578,Donnie Darko,2001,8.1
0072271,The Texas Chain Saw Massacre,1974,7.5
1980929,Begin Again,2013,7.5
0116231,The Bandit,1996,8.5
0075029,The Outlaw Josey Wales,1976,7.9
0070917,The Wicker Man,1973,7.6
0420332,Veer-Zaara,2004,7.9
0067992,Willy Wonka &#x26; the Chocolate Factory,1971,7.8
0088247,The Terminator,1984,8.1
0026138,Bride of Frankenstein,1935,7.9
0120746,The Mask of Zorro,1998,6.7
2278388,The Grand Budapest Hotel,2014,8.1
0095016,Die Hard,1988,8.2
0104940,The Muppet Christmas Carol,1992,7.7
0099348,Dances with Wolves,1990,8.0
2488496,Star Wars: The Force Awakens,2015,8.5
0117631,Shine,1996,7.7
0112461,The Basketball Diaries,1995,7.3
0455590,The Last King of Scotland,2006,7.7
1013753,Milk,2008,7.6
0099487,Edward Scissorhands,1990,8.0
0095327,Grave of the Fireflies,1988,8.5
0892769,How to Train Your Dragon,2010,8.2
0453562,42,2013,7.5
0286112,Shaolin Soccer,2001,7.3
0119164,The Full Monty,1997,7.2
0054331,Spartacus,1960,7.9
1057500,Invictus,2009,7.4
0419294,The Three Burials of Melquiades Estrada,2005,7.5
0090022,Silverado,1985,7.2
0118694,In the Mood for Love,2000,8.1
0421082,Control,2007,7.8
0056217,The Man Who Shot Liberty Valance,1962,8.1
0065988,Little Big Man,1970,7.7
1535109,Captain Phillips,2013,7.9
0338013,Eternal Sunshine of the Spotless Mind,2004,8.4
0034583,Casablanca,1942,8.6
1069238,Departures,2008,8.1
0103874,Dracula,1992,7.5
3390572,Haider,2014,8.3
0293715,My Sassy Girl,2001,8.2
1028532,Hachi: A Dog&#x27;s Tale,2009,8.2
0080678,The Elephant Man,1980,8.2
0851578,Paprika,2006,7.7
0327056,Mystic River,2003,8.0
0765429,American Gangster,2007,7.8
0410097,Hustle &#x26; Flow,2005,7.4
0376968,The Return,2003,8.0
0074119,All the President&#x27;s Men,1976,8.0
0070047,The Exorcist,1973,8.0
0059646,Repulsion,1965,7.8
0248845,Hedwig and the Angry Inch,2001,7.8
0052357,Vertigo,1958,8.4
0092086,&#xA1;Three Amigos!,1986,6.4
0421238,The Proposition,2005,7.5
0058461,A Fistful of Dollars,1964,8.0
1156398,Zombieland,2009,7.7
0120363,Toy Story 2,1999,7.9
0106308,Army of Darkness,1992,7.6
0086197,The Right Stuff,1983,7.9
0113862,Mr. Holland&#x27;s Opus,1995,7.3
0071562,The Godfather: Part II,1974,9.0
0080487,Caddyshack,1980,7.4
1606392,Win Win,2011,7.2
1266029,Nowhere Boy,2009,7.2
0081398,Raging Bull,1980,8.3
0093191,Wings of Desire,1987,8.1
0440963,The Bourne Ultimatum,2007,8.1
0114814,The Usual Suspects,1995,8.6
0475276,United 93,2006,7.6
0088763,Back to the Future,1985,8.5
0058331,Mary Poppins,1964,7.8
0364569,Oldboy,2003,8.4
0033467,Citizen Kane,1941,8.4
0071853,Monty Python and the Holy Grail,1975,8.3
0097576,Indiana Jones and the Last Crusade,1989,8.3
1226271,The Damned United,2009,7.6
0084787,The Thing,1982,8.2
0209144,Memento,2000,8.5
0460989,The Wind That Shakes the Barley,2006,7.5
0053125,North by Northwest,1959,8.4
2582802,Whiplash,2014,8.5
0432283,Fantastic Mr. Fox,2009,7.8
1210819,The Lone Ranger,2013,6.5
0079470,Life of Brian,1979,8.1
0423866,3-Iron,2004,8.1
0264464,Catch Me If You Can,2002,8.0
0387564,Saw,2004,7.7
0071230,Blazing Saddles,1974,7.8
3169706,Pride,2014,7.8
1555149,Elite Squad: The Enemy Within,2010,8.1
0109045,"The Adventures of Priscilla, Queen of the Desert",1994,7.5
0076759,Star Wars,1977,8.7
0062622,2001: A Space Odyssey,1968,8.3
2042568,Inside Llewyn Davis,2013,7.4
0118799,Life Is Beautiful,1997,8.6
2245084,Big Hero 6,2014,7.9
0116695,Jerry Maguire,1996,7.3
0089881,Ran,1985,8.3
0338564,Infernal Affairs,2002,8.1
0051459,Cat on a Hot Tin Roof,1958,8.1
0043274,Alice in Wonderland,1951,7.4
0033563,Dumbo,1941,7.3
0446059,Fearless,2006,7.7
0093773,Predator,1987,7.8
0105236,Reservoir Dogs,1992,8.4
1375666,Inception,2010,8.8
0476735,My Father and My Son,2005,8.7
1410063,The Flowers of War,2011,7.6
0010323,The Cabinet of Dr. Caligari,1920,8.1
2338151,PK,2014,8.3
1981677,Pitch Perfect,2012,7.2
2356180,Bhaag Milkha Bhaag,2013,8.3
0069281,Sleuth,1972,8.1
0078748,Alien,1979,8.5
0381849,3:10 to Yuma,2007,7.8
0907657,Once,2007,7.9
0050986,Wild Strawberries,1957,8.3
0477348,No Country for Old Men,2007,8.1
1798709,Her,2013,8.0
0067185,Harold and Maude,1971,8.0
0317248,City of God,2002,8.7
0038355,The Big Sleep,1946,8.1
0085334,A Christmas Story,1983,8.1
0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1
0120802,The Red Violin,1998,7.7
0350258,Ray,2004,7.7
2377938,Special 26,2013,8.0
0053604,The Apartment,1960,8.3
0317705,The Incredibles,2004,8.0
0114369,Se7en,1995,8.6
0353969,Memories of Murder,2003,8.1
0120815,Saving Private Ryan,1998,8.6
1305806,The Secret in Their Eyes,2009,8.2
0099088,Back to the Future Part III,1990,7.4
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
0044079,Strangers on a Train,1951,8.1
0055031,Judgment at Nuremberg,1961,8.3
0086190,Star Wars: Episode VI - Return of the Jedi,1983,8.4
0292490,Dil Chahta Hai,2001,8.2
0401383,The Diving Bell and the Butterfly,2007,8.0
1201607,Harry Potter and the Deathly Hallows: Part 2,2011,8.1
0106364,Batman: Mask of the Phantasm,1993,7.9
1156466,Undisputed 3: Redemption,2010,7.5
0108037,The Sandlot,1993,7.8
0158983,South Park: Bigger Longer &#x26; Uncut,1999,7.8
0405094,The Lives of Others,2006,8.5
0172495,Gladiator,2000,8.5
1220719,Ip Man,2008,8.1
0443680,The Assassination of Jesse James by the Coward Robert Ford,2007,7.6
0058946,The Battle of Algiers,1966,8.1
1465522,Tucker and Dale vs. Evil,2010,7.6
0052561,Anatomy of a Murder,1959,8.1
0075314,Taxi Driver,1976,8.4
0050083,12 Angry Men,1957,8.9
2096673,Inside Out,2015,8.3
0097815,Major League,1989,7.2
0426931,August Rush,2007,7.5
2013293,The Wind Rises,2013,7.8
1210166,Moneyball,2011,7.6
0111756,Wyatt Earp,1994,6.6
0046912,Dial M for Murder,1954,8.2
0065214,The Wild Bunch,1969,8.0
0215750,Enemy at the Gates,2001,7.6
1979320,Rush,2013,8.2
0390022,Friday Night Lights,2004,7.3
0395169,Hotel Rwanda,2004,8.1
1403865,True Grit,2010,7.7
0101765,The Double Life of Veronique,1991,7.9
0049730,The Searchers,1956,8.0
0021749,City Lights,1931,8.6
0086250,Scarface,1983,8.3
0020629,All Quiet on the Western Front,1930,8.1
0017925,The General,1926,8.3
