koren,stevilo,drama,biography,action,family,horror,fantasy,sport,comedy,crime,mystery,animation,sci_fi,thriller,music,history,film_noir,war,western,romance,musical,adventure
det,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
detail,13,7,5,2,2,0,0,0,4,0,2,0,0,4,3,4,0,0,1,2,3,0
detect,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
detectiv,75,50,2,5,1,0,4,1,7,57,55,3,3,49,0,0,21,0,0,6,0,0
deteriorat,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
determin,24,21,5,1,0,0,5,8,0,7,1,2,3,3,0,3,1,4,0,3,2,8
determination,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
detox,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0
detroit,4,3,0,2,0,1,0,0,0,4,1,0,1,2,0,0,0,0,0,1,0,0
deuk,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devamind,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
devastat,7,2,0,0,1,0,0,0,0,0,4,0,4,5,0,0,0,0,0,0,0,1
devastating,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
devd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
develop,12,7,0,4,4,0,0,0,4,4,0,4,10,0,0,0,0,0,2,3,0,4
developer,4,4,3,3,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0
development,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
developmental,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devic,6,5,0,4,0,0,4,0,4,0,0,0,6,1,0,0,0,0,0,3,3,5
devigny,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
devil,11,6,0,0,0,3,0,1,1,1,5,0,0,3,0,0,0,0,0,0,0,0
devilish,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
devot,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
devotion,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
devout,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dewey,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
dewy,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0
dhinveynug,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dhol,5,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
diabolical,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
diagnos,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
dialog,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
diamon,11,5,0,0,2,0,4,2,5,3,4,0,0,2,0,2,0,0,0,2,0,1
diamond,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
dian,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
diaz,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
dick,3,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0
dictator,13,12,5,1,2,0,2,0,5,0,0,0,1,0,0,1,0,9,0,0,0,1
dictatorship,5,5,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0
didier,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
didnt,10,5,0,0,2,0,0,0,4,6,1,0,0,5,2,0,2,0,0,2,0,4
differ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
differenc,10,9,1,1,0,0,0,1,1,0,0,0,2,0,2,0,0,4,0,2,0,4
different,36,34,9,1,2,4,0,0,11,19,3,1,0,11,0,9,0,1,2,4,5,5
differently,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
differing,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
difficult,19,11,1,0,9,0,5,0,6,0,0,7,0,0,0,1,0,1,0,10,10,7
difficulty,3,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,2,0,0
dig,4,3,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0
digidestin,4,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4
digimon,4,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4
digital,8,2,0,3,5,0,0,0,5,0,0,5,5,0,3,0,0,0,0,5,0,5
dignity,9,9,0,0,8,0,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0
dilapidat,8,6,0,0,0,2,1,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0
dilawar,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dilemm,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
dimension,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dimensional,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
diminish,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
dimitry,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,0
dimpl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
din,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
diner,7,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
dingy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dink,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dinner,6,3,0,0,0,1,2,0,3,0,2,0,1,3,0,0,0,0,0,0,0,1
dinosaur,5,2,0,0,0,2,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,3
dip,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
diplomacy,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
dir,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
direct,12,7,0,1,4,1,3,0,1,1,0,3,0,0,1,3,0,2,0,5,0,0
directly,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
director,40,32,12,0,2,1,1,0,14,13,10,6,0,12,4,2,0,6,0,4,7,2
directorchoreographer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
dirt,3,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,3,0,0,1
dirty,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disability,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disabl,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disappear,23,17,0,0,0,4,2,0,6,8,14,5,3,15,0,0,1,0,0,0,0,0
disappearanc,18,14,0,0,0,0,0,0,0,13,11,0,0,16,0,0,0,0,0,11,0,1
disappearing,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
disapprov,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
disapproval,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0
disarrang,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster,7,6,0,0,0,0,3,0,0,3,2,0,0,0,1,0,3,0,0,2,0,3
disastr,3,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,2
discharg,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0
discipl,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
disciplin,5,4,3,3,0,0,0,4,0,1,0,0,0,1,0,3,1,0,0,1,0,0
discontent,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
discourag,2,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
discover,101,58,2,6,28,8,26,4,21,5,32,20,10,21,9,2,2,7,3,35,14,18
discovering,6,6,0,3,0,0,3,0,5,1,2,0,3,0,0,0,1,0,0,3,5,3
discovery,5,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
discreet,4,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0
discus,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
discussing,3,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
disdain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
diseas,7,3,2,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,1,0,0
disertion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
disfigur,15,14,2,0,0,3,0,0,0,1,2,0,2,10,6,0,1,0,0,10,7,0
disgrac,6,6,0,0,4,0,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0
disguis,7,2,0,0,0,0,0,0,6,3,1,0,0,0,0,0,0,0,0,1,0,0
disgust,9,9,0,0,9,0,9,0,9,0,0,9,0,0,0,0,0,0,0,0,0,9
dishearten,4,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
disillusion,4,1,0,0,0,0,3,0,3,0,0,2,1,1,0,0,0,0,0,2,0,1
disillusionment,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
disintegration,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
disney,2,2,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0
disorder,4,4,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
disown,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dispatch,3,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
dispiriting,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
displac,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
dispos,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
disput,6,6,0,3,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0
disrespect,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disrespectful,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
disrupt,6,6,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,2,4,0,0,0
disruption,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dissenting,6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
dissociation,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
dissolv,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distanc,6,6,0,3,0,0,0,2,0,3,0,0,0,3,0,0,0,1,0,0,0,0
distant,22,5,0,0,10,2,1,0,1,1,7,11,17,2,0,0,0,0,0,1,0,12
distraught,6,6,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0
distres,9,3,0,0,0,4,0,0,3,0,2,0,4,5,0,0,0,0,0,0,0,0
district,10,5,0,3,0,0,3,0,0,3,1,3,1,3,0,0,5,0,0,1,1,1
distrust,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
disturbing,3,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
disus,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ditsy,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
ditzy,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
divers,4,3,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0
diversity,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
divert,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
divid,16,16,0,0,0,0,8,0,2,2,0,0,2,0,0,0,0,0,2,2,2,8
divin,11,8,6,3,0,0,3,2,3,0,0,0,0,0,0,6,0,0,0,3,0,7
diving,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
division,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
divorc,14,12,2,0,5,0,0,0,9,2,3,0,0,0,0,2,2,0,0,11,0,2
divorcing,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
divorcã,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0
divy,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
dixon,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
djang,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
dmz,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
dnyanesh,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
dobb,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
doc,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
docent,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0
dock,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dockworker,3,3,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
doctor,31,22,9,1,2,4,0,1,9,5,5,0,6,8,0,4,3,1,2,5,0,1
document,7,3,1,2,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,3
documentary,17,13,1,0,1,1,0,0,9,1,1,0,0,2,8,10,1,3,0,8,0,0
dodd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dodg,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
dodger,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doesnt,24,11,0,0,12,0,11,3,2,1,0,8,4,1,0,0,3,0,2,5,10,0
dog,20,6,0,1,7,6,2,2,7,5,1,3,3,4,0,0,0,0,3,0,0,4
doing,9,2,0,1,0,4,2,0,2,0,0,0,2,1,0,2,0,2,0,0,2,0
dol,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
doll,10,0,0,0,9,1,9,0,10,0,0,9,0,0,0,0,0,0,0,0,0,9
dollar,8,8,2,0,0,0,0,0,0,6,0,0,0,4,0,0,1,0,0,2,0,2
dom,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
domestic,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dominant,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
dominat,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
domination,7,0,0,0,0,7,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0
domineering,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dominican,4,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
dominiq,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
don,16,14,1,5,6,0,3,2,4,5,5,7,7,5,0,3,1,0,0,5,0,7
donal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
donat,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
donation,5,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
dong,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
donn,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
dont,12,9,0,0,0,0,5,0,3,0,9,0,0,4,5,0,0,0,0,5,0,0
doom,21,12,0,5,0,1,8,0,0,2,1,3,7,7,2,2,2,0,0,2,0,14
door,7,4,0,0,2,0,1,0,5,0,0,0,0,1,0,0,0,1,0,1,2,0
doorbell,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doorth,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
doppelganger,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dorad,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
doren,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dorky,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dormant,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
dormitory,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
dorothy,8,0,0,0,7,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7
dostoevsky,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doubl,17,14,1,2,0,3,0,1,1,6,4,0,0,11,0,4,6,2,1,0,0,0
doubt,3,3,0,0,0,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0
doughboy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
doughnut,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
dov,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
dovecot,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
dover,2,2,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0
down,82,43,3,12,5,11,5,6,15,30,8,3,7,32,1,0,4,2,15,8,6,6
downfall,4,3,1,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0
dowry,5,2,2,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
doyl,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
doziah,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dp,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dr,34,13,4,4,0,16,0,1,12,1,9,0,12,6,0,4,1,0,0,0,1,10
dracul,7,0,0,0,0,7,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
dradity,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft,7,6,3,0,0,0,0,2,1,0,0,0,0,0,1,1,0,3,0,2,1,0
drag,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
dragapell,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
dragon,27,3,0,10,18,0,23,0,8,1,0,22,4,0,0,0,0,0,0,2,0,22
dragonball,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
dram,29,20,1,11,4,0,0,1,9,7,0,0,0,5,1,2,0,6,0,4,3,0
dramatic,11,10,0,3,1,1,0,0,3,0,0,1,0,1,1,5,0,1,3,4,0,0
dramatically,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
dramatiz,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,4,0,0,0,0
dramatization,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
draw,13,13,0,0,0,0,8,0,2,1,0,0,4,0,0,0,1,0,0,0,0,12
drawn,19,8,0,0,8,0,0,0,11,2,1,0,1,2,0,0,3,0,2,10,1,0
dreadful,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
dream,116,60,7,25,17,10,15,13,43,9,23,15,18,31,15,7,1,2,0,21,8,23
dreaming,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
drench,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dres,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
drift,4,4,0,0,0,0,1,0,0,0,0,2,2,0,0,3,0,1,0,0,0,0
drifter,13,2,0,9,0,1,0,0,1,2,1,0,9,10,0,1,1,0,1,1,0,9
drink,2,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
drinking,7,7,0,0,0,0,0,0,0,3,0,0,0,3,0,0,2,3,0,0,0,0
driv,9,4,0,3,2,2,2,0,2,0,2,0,0,4,0,0,0,0,1,3,2,1
driven,14,10,1,3,1,0,1,0,1,6,3,0,0,6,3,0,0,2,2,4,0,0
driver,23,18,2,4,4,0,5,2,4,6,0,0,3,7,1,0,5,0,1,5,0,5
driving,5,3,0,0,0,1,0,0,1,1,3,0,0,2,0,0,0,0,0,2,2,0
droid,10,0,0,10,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10
drop,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1
dropping,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drought,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
drown,8,6,0,0,2,2,1,0,5,1,2,0,0,1,0,0,0,0,0,4,0,2
drowning,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
drug,53,45,6,16,2,1,1,2,4,37,5,0,5,29,1,0,0,0,1,12,3,0
drum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
drummer,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
drunk,5,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,1,1,0
drunkar,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
drunkard,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drunken,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2
drãk,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
duality,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
dub,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
dubb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
dublin,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
dud,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
duel,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
duk,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,1,2
dular,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dull,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
dumb,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dump,6,2,0,1,0,1,0,0,5,0,0,0,0,0,0,0,1,1,0,3,0,0
dunbar,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
duncan,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
dunson,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
dup,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
duplicat,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
duplicit,3,2,0,0,1,0,1,0,0,2,0,0,0,2,0,0,2,0,0,1,0,1
duran,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
durang,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
during,232,181,48,12,16,3,15,3,42,11,10,31,8,32,11,72,5,116,6,45,10,48
dust,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dutch,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
dutthagaman,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dutugamun,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
duty,4,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0
dv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dvorc,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
dwarak,5,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0
dwarf,4,0,0,0,2,0,4,0,2,0,0,4,0,0,0,0,0,0,0,2,2,0
dwarfism,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dwarv,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
dweller,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
dybbuk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dying,23,10,1,1,3,2,11,0,1,4,6,8,8,7,0,0,0,0,1,1,0,11
dyn,4,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
dynamic,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dynasty,13,12,1,0,0,0,3,0,3,9,0,0,0,0,3,0,0,0,0,0,3,0
dysfunctional,3,2,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1
dyson,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
dystopic,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
each,82,63,0,12,10,2,5,5,24,23,8,1,5,19,7,2,2,2,6,29,1,9
eagernes,9,9,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,9
eam,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
