koren,stevilo,drama,biography,action,family,horror,fantasy,sport,comedy,crime,mystery,animation,sci_fi,thriller,music,history,film_noir,war,western,romance,musical,adventure
acquaint,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
acquaintanc,4,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
acquiesc,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
acquir,9,8,2,0,0,0,0,2,5,1,4,4,5,3,0,0,2,0,0,4,0,4
acquisition,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acrophob,6,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,6,0,0
acros,38,15,2,2,6,2,1,1,9,9,11,1,1,16,4,6,1,5,1,8,0,17
act,21,21,0,3,2,0,0,1,2,8,0,0,2,6,1,0,1,0,2,4,0,0
acting,8,5,2,1,1,0,0,0,2,1,0,0,0,3,1,2,1,1,2,0,0,0
action,32,14,0,18,5,1,3,1,10,4,2,13,5,6,3,1,1,7,0,3,4,9
actionthriller,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0
activ,5,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
activist,7,7,3,0,0,0,0,0,2,0,0,0,2,2,0,3,0,2,0,2,0,0
activit,11,4,0,0,0,0,0,2,1,3,6,0,0,8,0,0,2,0,0,7,0,0
activity,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
actor,23,18,1,1,8,0,2,0,8,4,3,0,3,5,3,4,2,0,1,3,2,5
actres,18,11,2,0,0,3,2,0,7,0,3,5,0,5,3,0,0,0,0,7,1,0
actress,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
actually,14,6,0,4,5,3,1,0,5,4,6,5,5,4,1,0,0,0,2,7,0,6
adam,8,3,0,0,3,0,0,1,3,0,0,5,2,0,0,2,0,0,0,2,1,3
adapt,4,4,2,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,2,0,0
adaptation,16,11,2,0,4,1,4,2,7,3,0,8,0,4,0,0,0,0,0,4,4,8
adaption,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
addict,5,3,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,1,0,1,0,0
addiction,7,7,3,0,2,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,1,0
additional,2,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0
aden,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0
adh,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjust,3,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2,0,0
adjusting,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjustment,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
administer,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
administrativ,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
administrator,3,3,0,0,0,0,0,0,0,2,1,0,0,2,0,0,3,1,0,0,0,0
admir,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
admiral,5,1,0,5,0,0,4,0,0,0,0,4,1,1,0,0,0,0,0,0,0,5
admireddorin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
admirer,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
admit,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
admitt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
admittanc,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adolescenc,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
adolescent,3,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
adolf,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
adon,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adopt,9,6,0,3,1,0,1,0,1,0,0,1,1,0,5,2,0,4,1,2,0,3
adoption,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
adoptiv,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ador,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
adorabl,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adrian,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
adrift,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
adult,8,4,0,2,2,0,1,0,2,0,0,1,1,1,0,0,0,1,0,2,0,1
adulterer,4,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
adulth,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
advanc,20,5,0,15,0,0,12,0,2,1,0,0,15,1,0,0,1,0,0,2,0,12
advantag,5,0,0,2,0,0,0,5,2,3,3,0,0,3,0,0,3,0,0,0,0,0
adventur,89,33,0,17,23,1,31,4,26,9,2,27,4,8,2,13,0,12,4,13,0,52
adventurer,7,1,0,6,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,6
adventuresom,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
adversary,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
adversity,5,5,4,4,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0
advertising,8,0,0,0,0,0,0,0,0,8,8,0,0,8,0,0,0,0,0,0,0,8
advic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
advisor,3,1,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,2,0
aerodynamic,3,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,3
aerosmith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
afaz,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
affably,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
affair,14,11,0,1,0,1,0,0,4,2,1,0,0,1,0,3,4,4,3,6,1,3
affect,19,19,0,5,0,0,9,0,0,9,9,0,1,5,2,0,0,2,2,2,0,0
affection,9,9,2,0,0,0,0,1,3,0,0,0,0,0,0,2,0,2,1,5,2,0
affliction,3,2,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
affluent,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
affor,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
afghan,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
afghanistan,4,1,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,1,0,0
afoul,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
afr,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
afric,9,8,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,5,0,3,0,4
african,14,12,6,0,0,0,0,7,0,2,4,0,0,4,0,5,0,3,0,0,0,0
afrid,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after,480,301,35,101,60,36,73,15,131,108,52,58,71,173,28,24,24,22,24,65,27,148
aftermath,3,3,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0
ag,57,29,10,6,12,2,5,4,24,1,2,10,10,6,6,0,2,0,3,10,3,17
again,16,8,0,2,0,0,3,0,5,2,4,0,0,1,0,2,0,0,2,7,0,0
